rank,content_id,client_id,model_score,suggested_action,reason_codes,stale_but_visible,model_decline_risk_high,ctr_underperforming_for_position,recent_click_drop,syndicated_not_owned,too_new_unstable,needs_verification_before_trusting,content_type,main_intent,impressions_90d,clicks_90d,avg_position,ctr,days_since_last_update,content_age_days,trend_direction
11731,content_85bfdd825fab,client_19581e27de,0.5905160330062156,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,107,0,17.4,0.0,104,153,up
11732,content_9d477524d051,client_8527a891e2,0.5905035203132569,monitor,none,False,False,False,False,False,False,False,keyword article,informational,2,0,1.5,0.0,20,120,stable
11733,content_676627af2611,client_19581e27de,0.5904713328738481,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,transactional,6450,11,6.4,0.17,104,330,down
11734,content_584e6896455d,client_4e07408562,0.5904630185879332,monitor,none,False,False,False,False,False,False,False,keyword article,informational,1145,2,8.5,0.17,7,390,down
11735,content_01d21ee8ee13,client_f369cb89fc,0.590459497236283,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,41,0,4.9,0.0,20,131,down
11736,content_dbbcfc700b35,client_19581e27de,0.59044190392887,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,8407,12,4.5,0.14,20,91,down
11737,content_c4181438d611,client_7f2253d7e2,0.5904408071385207,monitor,none,False,False,False,False,False,False,False,keyword article,informational,226,1,1.2,0.44,20,225,down
11738,content_e25a5ef7ae33,client_4e07408562,0.5903790626052863,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,informational,4610,7,15.7,0.15,25,545,stable
11739,content_2ecffdf9bf32,client_7f2253d7e2,0.5903756391046469,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,22074,27,9.9,0.12,20,225,down
11740,content_c6599698a7a7,client_f369cb89fc,0.590368090568841,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,19,0,10.2,0.0,20,141,down
11741,content_514356b21e2a,client_4e07408562,0.590326486796186,monitor,none,False,False,False,False,False,False,False,keyword article,informational,1785,2,27.5,0.11,13,230,down
11742,content_45a8b74d4be2,client_4e07408562,0.5903110318165589,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,informational,2559,1,33.4,0.04,104,280,stable
11743,content_25ff6043653f,client_8527a891e2,0.590310621975875,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,36,0,10.1,0.0,98,173,stable
11744,content_fe0f1d31f0b0,client_3fdba35f04,0.5902878991166557,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,commercial,8643,8,37.0,0.09,14,124,down
